국가명1,국가명2,국가_지역본부명,코사인 유사도
키르기즈스탄,카자흐스탄,CIS지역본부,0.4203806962674531
키르기즈스탄,키르기즈스탄,CIS지역본부,1.0
키르기즈스탄,타지키스탄,CIS지역본부,0.45205077489169015
키르기즈스탄,투르크메니스탄,CIS지역본부,0.33269466283866256
타지키스탄,러시아연방,CIS지역본부,0.28470682036078726
타지키스탄,몰다비아,CIS지역본부,0.260613612306913
타지키스탄,몽골,CIS지역본부,0.38599179051775967
타지키스탄,벨라루스,CIS지역본부,0.14414655277136482
타지키스탄,아르메니아,CIS지역본부,0.23224655359822738
타지키스탄,아제르바이젠,CIS지역본부,0.27112586011244616
타지키스탄,우즈베키스탄,CIS지역본부,0.3196872866316971
타지키스탄,우크라이나,CIS지역본부,0.23271373152082875
타지키스탄,조지아,CIS지역본부,0.22492872560160457
타지키스탄,카자흐스탄,CIS지역본부,0.3331418695448812
타지키스탄,키르기즈스탄,CIS지역본부,0.45205077489169015
타지키스탄,타지키스탄,CIS지역본부,1.0
타지키스탄,투르크메니스탄,CIS지역본부,0.33971508607345546
투르크메니스탄,러시아연방,CIS지역본부,0.3526080483540299
투르크메니스탄,몰다비아,CIS지역본부,0.41243423332975326
투르크메니스탄,몽골,CIS지역본부,0.33277852855304274
투르크메니스탄,벨라루스,CIS지역본부,0.3135531476161144
투르크메니스탄,아르메니아,CIS지역본부,0.303736650852183
투르크메니스탄,아제르바이젠,CIS지역본부,0.3194918385320032
투르크메니스탄,우즈베키스탄,CIS지역본부,0.32756579028736416
투르크메니스탄,우크라이나,CIS지역본부,0.3529177419334371
투르크메니스탄,조지아,CIS지역본부,0.3190613642815499
투르크메니스탄,카자흐스탄,CIS지역본부,0.3636699893665927
투르크메니스탄,키르기즈스탄,CIS지역본부,0.33269466283866256
투르크메니스탄,타지키스탄,CIS지역본부,0.33971508607345546
투르크메니스탄,투르크메니스탄,CIS지역본부,1.0
